feature_id,feature_area,feature_type,cli_surface,user_story,expected_behavior,implementation_status,story_status,test_status,last_tested_at,test_command,test_result,error_notes,existing_evidence,manual_test_data_needed,source_refs
CMD-001,Agent Activity,CLI command,linctl agent-activity get,"As a Linear operator using linctl, I want to get one AgentActivity by id so I can work from the agent-safe CLI surface.",Get one AgentActivity by id. Usage: linctl agent-activity get AGENT_ACTIVITY_ID.,Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,Referenced in docs/test-scenarios.md; verify in current loop before marking passed,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/agent_activity.go
CMD-002,Agent Activity,CLI command,linctl agent-activity list,"As a Linear operator using linctl, I want to list Linear AgentActivities so I can work from the agent-safe CLI surface.",List Linear AgentActivities. Usage: linctl agent-activity list [flags]. Supported flags: --limit int maximum AgentActivities to return (default 50),Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,Referenced in docs/test-scenarios.md; verify in current loop before marking passed,,skills/linctl/references/commands.md; internal/cli/agent_activity.go
CMD-003,Agent Skill,CLI command,linctl agent-skill get,"As a Linear operator using linctl, I want to get one AgentSkill by id so I can work from the agent-safe CLI surface.",Get one AgentSkill by id. Usage: linctl agent-skill get AGENT_SKILL_ID.,Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,Referenced in docs/test-scenarios.md; verify in current loop before marking passed,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/agent_skill.go
CMD-004,Agent Skill,CLI command,linctl agent-skill list,"As a Linear operator using linctl, I want to list Linear AgentSkills so I can work from the agent-safe CLI surface.",List Linear AgentSkills. Usage: linctl agent-skill list [flags]. Supported flags: --limit int maximum AgentSkills to return (default 50),Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,Referenced in docs/test-scenarios.md; verify in current loop before marking passed,,skills/linctl/references/commands.md; internal/cli/agent_skill.go
CMD-005,Application,CLI command,linctl application info,"As a Linear operator using linctl, I want to get public OAuth application metadata so I can work from the agent-safe CLI surface.",Get public OAuth application metadata. Usage: linctl application info CLIENT_ID.,Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,Referenced in docs/test-scenarios.md; verify in current loop before marking passed,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/application.go
CMD-006,Attachment,CLI command,linctl attachment get,"As a Linear operator using linctl, I want to get one attachment by id so I can work from the agent-safe CLI surface.",Get one attachment by id. Usage: linctl attachment get ATTACHMENT_ID.,Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,Referenced in docs/test-scenarios.md; verify in current loop before marking passed,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/attachment.go
CMD-007,Attachment,CLI command,linctl attachment issue attachments,"As a Linear operator using linctl, I want to list attachments for the issue associated with an attachment so I can work from the agent-safe CLI surface.",List attachments for the issue associated with an attachment. Usage: linctl attachment issue attachments ATTACHMENT_ID [flags]. Supported flags: --limit int maximum attachments to return (default 50),Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,docs/test-scenarios.md scenario 101 attachment issue projections,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/attachment.go
CMD-008,Attachment,CLI command,linctl attachment issue bot-actor,"As a Linear operator using linctl, I want to show bot actor metadata for the issue associated with an attachment so I can work from the agent-safe CLI surface.",Show bot actor metadata for the issue associated with an attachment. Usage: linctl attachment issue bot-actor ATTACHMENT_ID.,Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,docs/test-scenarios.md scenario 101 attachment issue projections,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/attachment.go
CMD-009,Attachment,CLI command,linctl attachment issue children,"As a Linear operator using linctl, I want to list child issues for the issue associated with an attachment so I can work from the agent-safe CLI surface.",List child issues for the issue associated with an attachment. Usage: linctl attachment issue children ATTACHMENT_ID [flags]. Supported flags: --limit int maximum child issues to return (default 50),Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,docs/test-scenarios.md scenario 101 attachment issue projections,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/attachment.go
CMD-010,Attachment,CLI command,linctl attachment issue comments,"As a Linear operator using linctl, I want to list body-free comments for the issue associated with an attachment so I can work from the agent-safe CLI surface.",List body-free comments for the issue associated with an attachment. Usage: linctl attachment issue comments ATTACHMENT_ID [flags]. Supported flags: --limit int maximum comments to return (default 50),Implemented in command tree,Drafted from generated command reference,Passed documented automated behavior test,2026-06-23T22:09:54+03:00,go test -count=1 ./internal/cli ./internal/client ./internal/config ./internal/gitctx ./internal/render,"PASS: internal/cli, internal/client, internal/config, internal/gitctx, and internal/render package tests passed",,docs/test-scenarios.md scenario 101 attachment issue projections,Requires live Linear fixture or local argument value,skills/linctl/references/commands.md; internal/cli/attachment.go
